UID,Date,Path
user_00001,2025-01-23,['tags']
user_00001,2025-02-18,['category_list']
user_00001,2025-02-19,['categories']
user_00001,2025-02-25,['vip']
user_00001,2025-03-29,['from=write']
user_00001,2025-05-30,['discount_messages']
user_00001,2025-06-29,['channel=online']
user_00001,2025-07-24,['offers']
user_00001,2025-07-26,['beautynews']
user_00002,2025-01-04,['new-reviews']
user_00002,2025-03-09,['brands']
user_00002,2025-04-02,['brand_gift']
user_00002,2025-05-02,['channel_details']
user_00002,2025-05-31,['beauty-ranking-tour']
user_00003,2025-02-23,['reviews']
user_00003,2025-05-21,['beauty-awards']
user_00003,2025-07-08,['categories']
user_00004,2025-02-23,['new-products']
user_00004,2025-03-21,['news']
user_00004,2025-04-16,['from=write']
user_00004,2025-05-25,['beautynews']
user_00005,2025-01-01,['channel_details']
user_00005,2025-02-12,['ranking']
user_00005,2025-02-27,['goodbuy']
user_00005,2025-04-19,['new-reviews']
user_00005,2025-07-11,['beautynews']
user_00006,2025-01-09,['reviews']
user_00006,2025-02-03,['coupons']
user_00006,2025-02-19,['goodbuy']
user_00006,2025-05-18,['category_list']
user_00006,2025-05-26,['category_list']
user_00006,2025-06-11,['brand_gift']
user_00006,2025-07-02,['new-products']
user_00006,2025-07-10,['new-products']
user_00007,2025-01-14,['new-products']
user_00007,2025-03-10,['from=write']
user_00007,2025-03-29,['coupons']
user_00007,2025-04-08,['channel_details']
user_00007,2025-06-03,['brands']
user_00008,2025-02-12,['new-reviews']
user_00008,2025-03-24,['tags']
user_00008,2025-07-07,"['beautynews', 'events']"
user_00009,2025-01-27,['write-review-please']
user_00009,2025-03-26,['tags']
user_00009,2025-06-22,['news']
user_00009,2025-07-06,['channel=offline']
user_00009,2025-07-12,['new-products']
user_00009,2025-07-15,['channel_details']
user_00009,2025-07-21,['discount_messages']
user_00010,2025-04-16,['beauty-awards']
user_00010,2025-07-05,['coupons']
user_00011,2025-01-24,['categories']
user_00011,2025-01-29,['new-reviews']
user_00011,2025-03-01,['series']
user_00011,2025-03-04,['write-review-please']
user_00011,2025-03-12,['sell-channels']
user_00011,2025-07-13,['discount_messages']
user_00011,2025-07-15,['channel=offline']
user_00012,2025-02-22,['categories']
user_00012,2025-04-01,['events']
user_00013,2025-03-15,['vip']
user_00013,2025-03-26,['new-products']
user_00013,2025-04-22,['channel=offline']
user_00013,2025-04-23,['from=write']
user_00013,2025-05-02,['beautynews']
user_00013,2025-07-16,['ranking']
user_00014,2025-03-21,['goodbuy']
user_00014,2025-04-08,['beauty-awards']
user_00014,2025-04-24,['products']
user_00014,2025-06-17,['offers']
user_00015,2025-02-12,['tags']
user_00015,2025-02-20,['brand-events']
user_00015,2025-02-24,['activities']
user_00015,2025-03-02,['beauty-ranking-tour']
user_00015,2025-06-01,['channel=online']
user_00015,2025-06-07,['series']
user_00015,2025-06-27,['products']
user_00016,2025-01-23,['goodbuy']
user_00016,2025-03-23,['reviews']
user_00016,2025-05-28,['new-products']
user_00017,2025-02-09,['ranking']
user_00017,2025-03-17,['news']
user_00017,2025-03-18,['channel=online']
user_00017,2025-04-28,['ranking']
user_00017,2025-07-22,['series']
user_00018,2025-04-18,['beauty-ranking-tour']
user_00018,2025-05-30,['goodbuy']
user_00018,2025-06-10,['new-products']
user_00018,2025-07-22,['coupons']
user_00019,2025-02-03,['channel=offline']
user_00019,2025-02-05,['new-products']
user_00019,2025-02-24,['new-reviews']
user_00019,2025-03-22,['brands']
user_00019,2025-05-18,['reviews']
user_00019,2025-05-28,['category_list']
user_00019,2025-06-16,['activities']
user_00019,2025-06-20,['brand_gift']
user_00020,2025-01-11,['news']
user_00020,2025-03-13,['category_list']
user_00020,2025-03-29,['beautynews']
user_00020,2025-06-07,['new-products']
user_00021,2025-03-04,['discount_messages']
user_00021,2025-05-14,['sell-channels']
user_00021,2025-07-11,['coupons']
user_00022,2025-02-24,['beauty-awards']
user_00022,2025-04-02,['new-products']
user_00022,2025-04-17,['new-reviews']
user_00022,2025-06-22,['goodbuy']
user_00023,2025-02-27,['channel=online']
user_00023,2025-03-02,['brand-events']
user_00023,2025-03-17,['tags']
user_00023,2025-04-02,['reviews']
user_00023,2025-04-18,['channel=offline']
user_00023,2025-04-24,['categories']
user_00023,2025-06-28,['events']
user_00024,2025-01-18,['sell-channels']
